Device Type, Ticks, Data0, Data1
2, 19665, 0, 3595
1, 19693, 65, 61
0, 19696, 539, 0
4, 19696, 27, 795
2, 19696, 0, 0
1, 19724, 73, 62
0, 19726, 522, 0
4, 19726, 21, 803
2, 19727, 0, 1471
1, 19755, 65, 60
0, 19757, 504, 0
4, 19757, 17, 816
4, 19758, 17, 816
6, 20549, 0, 0
5, 20551, 0, 0
5, 20652, 0, 8
5, 20753, 0, 28
5, 20854, 0, 51
5, 20955, 0, 79
5, 21056, 0, 85
5, 21157, 0, 78
5, 21258, 0, 80
2, 21421, 12, 1809
1, 21426, 385, 337
1, 21443, 394, 335
2, 21446, 0, 2596
1, 21474, 388, 318
2, 21474, 0, 2453
2, 21499, 0, 1753
