Device Type, Ticks, Data0, Data1
5, 7144, 0, 83
5, 7145, 0, 83
5, 7146, 0, 83
5, 7147, 0, 84
5, 7148, 0, 84
5, 7149, 0, 84
5, 7150, 0, 84
5, 7151, 0, 84
5, 7152, 0, 84
5, 7153, 0, 84
5, 7154, 0, 85
5, 7155, 0, 85
5, 7156, 0, 85
5, 7157, 0, 85
5, 7158, 0, 85
5, 7159, 0, 85
5, 7160, 0, 86
5, 7161, 0, 86
5, 7162, 0, 86
5, 7163, 0, 86
5, 7164, 0, 86
5, 7165, 0, 86
5, 7166, 0, 87
5, 7167, 0, 87
5, 7168, 0, 87
5, 7169, 0, 87
5, 7170, 0, 87
5, 7171, 0, 87
5, 7172, 0, 88
5, 7173, 0, 88
5, 7174, 0, 88
5, 7175, 0, 88
5, 7176, 0, 88
5, 7177, 0, 88
5, 7178, 0, 89
5, 7179, 0, 89
5, 7180, 0, 89
5, 7181, 0, 89
5, 7182, 0, 89
5, 7183, 0, 89
5, 7184, 0, 89
5, 7185, 0, 90
5, 7186, 0, 90
5, 7187, 0, 90
5, 7188, 0, 90
5, 7189, 0, 90
5, 7190, 0, 90
5, 7191, 0, 91
5, 7192, 0, 91
5, 7193, 0, 91
5, 7194, 0, 91
5, 7195, 0, 91
5, 7196, 0, 91
5, 7197, 0, 91
5, 7198, 0, 92
5, 7199, 0, 92
5, 7200, 0, 92
5, 7201, 0, 92
5, 7202, 0, 92
5, 7203, 0, 92
5, 7204, 0, 92
5, 7205, 0, 92
5, 7206, 0, 93
5, 7207, 0, 93
5, 7208, 0, 93
5, 7209, 0, 93
5, 7210, 0, 93
5, 7211, 0, 93
5, 7212, 0, 93
5, 7213, 0, 93
5, 7214, 0, 93
5, 7215, 0, 93
5, 7216, 0, 93
5, 7217, 0, 93
5, 7218, 0, 94
5, 7219, 0, 94
5, 7220, 0, 94
5, 7221, 0, 94
5, 7222, 0, 94
5, 7223, 0, 94
5, 7224, 0, 94
5, 7225, 0, 94
5, 7226, 0, 94
5, 7227, 0, 94
5, 7228, 0, 94
5, 7229, 0, 94
5, 7230, 0, 94
5, 7231, 0, 94
5, 7232, 0, 94
5, 7233, 0, 94
5, 7234, 0, 94
5, 7235, 0, 94
5, 7236, 0, 93
5, 7237, 0, 93
5, 7238, 0, 93
5, 7239, 0, 93
5, 7240, 0, 93
5, 7241, 0, 93
5, 7242, 0, 93
5, 7243, 0, 93
5, 7244, 0, 93
5, 7245, 0, 93
5, 7246, 0, 93
5, 7247, 0, 93
5, 7248, 0, 93
5, 7249, 0, 93
5, 7250, 0, 93
5, 7251, 0, 93
5, 7252, 0, 93
5, 7253, 0, 93
5, 7254, 0, 93
5, 7255, 0, 93
5, 7256, 0, 93
5, 7257, 0, 93
5, 7258, 0, 93
5, 7259, 0, 93
5, 7260, 0, 93
5, 7261, 0, 93
5, 7262, 0, 93
5, 7263, 0, 93
5, 7264, 0, 93
5, 7265, 0, 93
5, 7266, 0, 93
5, 7267, 0, 93
5, 7268, 0, 93
5, 7269, 0, 93
5, 7270, 0, 93
5, 7271, 0, 93
5, 7272, 0, 92
5, 7273, 0, 92
5, 7274, 0, 92
5, 7275, 0, 92
5, 7276, 0, 92
5, 7277, 0, 92
5, 7278, 0, 92
5, 7279, 0, 92
5, 7280, 0, 92
5, 7281, 0, 92
5, 7282, 0, 92
5, 7283, 0, 92
5, 7284, 0, 92
5, 7285, 0, 92
5, 7286, 0, 92
